,0
0,Light Rain
1,Overcast
2,Mostly Cloudy
3,Rain
4,Light Snow
5,Haze
6,Scattered Clouds
7,Partly Cloudy
8,Clear
9,Snow
10,Light Freezing Drizzle
11,Light Drizzle
12,Fog
13,Shallow Fog
14,Heavy Rain
15,Light Freezing Rain
16,Cloudy
17,Drizzle
18,
19,Light Rain Showers
20,Mist
21,Smoke
22,Patches of Fog
23,Light Freezing Fog
24,Light Haze
25,Light Thunderstorms and Rain
26,Thunderstorms and Rain
27,Fair
28,Volcanic Ash
29,Blowing Sand
30,Blowing Dust / Windy
31,Widespread Dust
32,Fair / Windy
33,Rain Showers
34,Mostly Cloudy / Windy
35,Light Rain / Windy
36,Hail
37,Heavy Drizzle
38,Showers in the Vicinity
39,Thunderstorm
40,Light Rain Shower
41,Light Rain with Thunder
42,Partly Cloudy / Windy
43,Thunder in the Vicinity
44,T-Storm
45,Heavy Thunderstorms and Rain
46,Thunder
47,Heavy T-Storm
48,Funnel Cloud
49,Heavy T-Storm / Windy
50,Blowing Snow
51,Light Thunderstorms and Snow
52,Heavy Snow
53,Low Drifting Snow
54,Light Ice Pellets
55,Ice Pellets
56,Squalls
57,N/A Precipitation
58,Cloudy / Windy
59,Light Fog
60,Sand
61,Snow Grains
62,Snow Showers
63,Heavy Thunderstorms and Snow
64,Rain / Windy
65,Heavy Rain / Windy
66,Heavy Ice Pellets
67,Light Snow / Windy
68,Heavy Freezing Rain
69,Small Hail
70,Heavy Rain Showers
71,Thunder / Windy
72,Drizzle and Fog
73,T-Storm / Windy
74,Blowing Dust
75,Smoke / Windy
76,Haze / Windy
77,Tornado
78,Light Drizzle / Windy
79,Widespread Dust / Windy
80,Wintry Mix
81,Wintry Mix / Windy
82,Light Snow with Thunder
83,Fog / Windy
84,Snow and Thunder
85,Light Snow Shower
86,Sleet
87,Light Snow and Sleet
88,Snow / Windy
89,Rain Shower
90,Snow and Sleet
91,Light Sleet
92,Heavy Snow / Windy
93,Freezing Drizzle
94,Light Freezing Rain / Windy
95,Thunder / Wintry Mix
96,Blowing Snow / Windy
97,Freezing Rain
98,Light Snow and Sleet / Windy
99,Snow and Sleet / Windy
100,Sleet / Windy
101,Heavy Freezing Rain / Windy
102,Squalls / Windy
103,Light Rain Shower / Windy
104,Snow and Thunder / Windy
105,Light Sleet / Windy
106,Sand / Dust Whirlwinds
107,Mist / Windy
108,Drizzle / Windy
109,Duststorm
110,Sand / Dust Whirls Nearby
111,Thunder and Hail
112,Heavy Sleet
113,Freezing Rain / Windy
114,Light Snow Shower / Windy
115,Partial Fog
116,Thunder / Wintry Mix / Windy
117,Patches of Fog / Windy
118,Rain and Sleet
119,Light Snow Grains
120,Partial Fog / Windy
121,Sand / Dust Whirlwinds / Windy
122,Heavy Snow with Thunder
123,Light Snow Showers
124,Heavy Blowing Snow
125,Light Hail
126,Heavy Smoke
127,Heavy Thunderstorms with Small Hail
128,Light Thunderstorm
129,Heavy Freezing Drizzle
130,Light Blowing Snow
131,Thunderstorms and Snow
132,Dust Whirls
133,Rain Shower / Windy
134,Sleet and Thunder
135,Heavy Sleet and Thunder
136,Drifting Snow / Windy
137,Shallow Fog / Windy
138,Thunder and Hail / Windy
139,Heavy Sleet / Windy
140,Sand / Windy
141,Heavy Rain Shower / Windy
142,Blowing Snow Nearby
143,Heavy Rain Shower
144,Drifting Snow
